Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,158.619995,160.710007,158.550003,160.669998,157.486877,1668700
2022-03-18,160.339996,161.869995,159.690002,161.729996,158.525894,1134600
2022-03-21,161.050003,161.809998,159.660004,160.639999,158.136063,1192300
2022-03-22,161.559998,162.070007,161.259995,161.740005,159.218918,2939000
2022-03-23,161.020004,161.179993,159.330002,159.369995,156.885849,1603400
2022-03-24,160.020004,161.179993,159.529999,161.179993,158.667633,1098600
2022-03-25,161.520004,162.259995,160.809998,162.110001,159.583145,1335400
2022-03-28,162.009995,162.990005,161.119995,162.990005,160.449448,1412100
2022-03-29,164.389999,165.039993,163.630005,164.940002,162.369049,1384000
2022-03-30,164.449997,164.960007,163.559998,164.259995,161.699615,1013700
2022-03-31,163.889999,164.399994,162.089996,162.160004,159.632355,1285600
2022-04-01,162.710007,162.830002,161.369995,162.699997,160.163956,1462000
2022-04-04,162.559998,163.000000,161.679993,162.949997,160.410049,1102600
2022-04-05,162.289993,163.720001,161.570007,161.929993,159.405945,1013100
2022-04-06,160.570007,161.979996,160.410004,161.509995,158.992493,1423900
2022-04-07,161.250000,163.080002,160.740005,162.460007,159.927704,892900
2022-04-08,162.309998,163.399994,161.839996,162.509995,159.976898,830200
2022-04-11,161.860001,162.330002,160.380005,160.559998,158.057297,1018700
2022-04-12,161.220001,162.169998,159.309998,159.830002,157.338684,1069500
2022-04-13,159.639999,161.199997,159.589996,161.009995,158.500275,806700
2022-04-14,161.160004,161.910004,159.779999,159.830002,157.338684,1034600
2022-04-18,159.250000,160.449997,158.660004,159.320007,156.836639,1143600
2022-04-19,159.399994,162.199997,159.399994,161.960007,159.435486,1283200
2022-04-20,162.800003,164.250000,162.800003,163.500000,160.951477,1085100
2022-04-21,164.479996,165.039993,161.610001,161.869995,159.346893,1116500
2022-04-22,161.350006,161.440002,157.309998,157.479996,155.025314,1568000
2022-04-25,157.059998,158.740005,155.160004,158.529999,156.058945,2188700
2022-04-26,157.589996,158.149994,155.000000,155.050003,152.633194,1630400
2022-04-27,155.710007,157.869995,155.500000,156.050003,153.617615,1817100
2022-04-28,157.050003,159.550003,156.000000,158.970001,156.492081,1097400
2022-04-29,158.000000,158.250000,153.619995,153.860001,151.461746,1515800
2022-05-02,154.149994,155.199997,151.149994,154.050003,151.648788,2420400
2022-05-03,154.360001,155.479996,153.449997,154.259995,151.855515,1145500
2022-05-04,154.520004,158.830002,153.860001,158.539993,156.068802,1729300
2022-05-05,157.139999,157.339996,152.490005,153.850006,151.451904,2109600
2022-05-06,152.860001,153.910004,151.259995,152.979996,150.595444,2066300
2022-05-09,151.089996,151.740005,149.600006,150.190002,147.848953,2624700
2022-05-10,151.830002,152.380005,148.570007,149.800003,147.465027,2585900
